studyId,studyTitle,studyProtocolVersion,participantId,participantCode,participantEmail,participantStatus,sessionRunId,sessionName,sessionOrder,sessionProtocolVersion,sessionStatus,sessionOpenedAt,sessionStartedAt,sessionCompletedAt,taskRunId,taskType,taskVersion,taskStartedAt,taskCompletedAt,summary_A1,summary_A2,summary_A3,summary_A4,summary_A5,summary_B,summary_A6ImmediateRecall,summary_totalLearning,trialNumber,trialPhase,trialLabel,stimulus,expectedResponse,actualResponse,correct,reactionTimeMs,summary_sequence,summary_roundsCompleted,summary_totalCorrectSequences,summary_overallAccuracy,summary_totalCorrect,summary_totalTrials,summary_accuracy,summary_conditionsCompleted,summary_practiceIncluded,summary_hits,summary_falseAlarms,summary_misses,summary_correctRejections
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"drum","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"school","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"coffee","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"school","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"drum","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","2",,,,,"school","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"glass","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","2",,,,,"book","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","3",,,,,"chair","true",,,,,,,,,,,,,,
"""69fe9caf0b12f409b72c26a4""","Sleep Memory Consolidation Study - Full QA","combined-v1-v2","""69fe9cfb0b12f409b72c26a5""","CV-C08B18","test@example.com","invited","""69fe9cfb0b12f409b72c26a6""","Session C - Version 1","1",,"completed","2026-05-09T02:33:31.580Z","2026-05-09T02:34:11.523Z","2026-05-09T11:11:20.854Z","""69ff05870b12f409b72c26aa""","avlt","v1",,"2026-05-09T09:59:35.058Z","1","1","1","1","2","3","2","6","1",,,,,"drum","true",,,,,,,,,,,,,,
